Opponent,first_ball_won,first_ball_lost,first_ball_total,first_ball_percentage,second_ball_won,second_ball_lost,second_ball_total,second_ball_percentage,wide_attacks_won,wide_attacks_lost,wide_attacks_total,wide_attacks_percentage,defensive_wide_attacks_won,defensive_wide_attacks_lost,defensive_wide_attacks_total,defensive_wide_attacks_percentage,free_kicks_successful,free_kicks_unsuccessful,free_kicks_total,free_kicks_percentage,corner_kicks_successful,Corner_kicks_unsuccessful,Corner_kicks_total,Corner_kicks_percentage,box_touches,attacking_clear_cuts,backline_to_frontline,opponent_clear_cuts,opponent_backline_to_frontline,won_off_backline,massey_ranking,opponent_shots,jc_shots,opponent_goals,jc_goals,Formation
Westminster,39,20,59,0.661016949,22,22,44,0.5,15,13,28,0.535714286,9,10,19,0.473684211,4,3,7,0.571428571,4,6,10,0.4,2,4,22,4,7,6,313,10,12,0,0,1
York,22,22,44,0.5,20,17,37,0.540540541,9,10,19,0.473684211,15,12,27,0.555555556,1,1,2,0.5,0,4,4,0,4,2,18,5,15,7,142,9,5,2,0,1
Pitt_Greensburg,30,22,52,0.576923077,28,18,46,0.608695652,12,10,22,0.545454545,8,13,21,0.380952381,1,1,2,0.5,1,3,4,0.25,12,9,9,3,12,11,314,11,18,2,3,1
Chatham,40,28,68,0.588235294,42,19,61,0.68852459,21,22,43,0.488372093,11,4,15,0.733333333,5,3,8,0.625,5,4,9,0.555555556,14,10,12,1,8,14,324,4,23,2,4,1
Kings,41,13,54,0.759259259,21,17,38,0.552631579,10,13,23,0.434782609,13,7,20,0.65,1,0,1,1,2,2,4,0.5,7,5,12,1,7,8,264,10,10,0,2,1
Drew,60,19,79,0.759493671,43,15,58,0.74137931,2,5,7,0.285714286,15,9,24,0.625,1,2,3,0.333333333,0,1,1,0,1,1,9,4,16,0,99,21,4,1,0,1
Carnegie_Mellon,25,17,42,0.595238095,20,9,29,0.689655172,5,7,12,0.416666667,13,16,29,0.448275862,0,1,1,0,0,0,0,#DIV/0!,6,1,8,5,15,7,100,15,3,3,0,1
Goucher,72,36,108,0.666666667,36,38,74,0.486486486,5,15,20,0.25,17,12,29,0.586206897,1,1,2,0.5,0,3,3,0,3,2,9,8,9,0,136,13,4,3,1,1
Elizabethtown,48,23,71,0.676056338,32,10,42,0.761904762,5,6,11,0.454545455,20,19,39,0.512820513,1,1,2,0.5,1,0,1,1,4,1,5,4,6,1,119,18,4,2,1,0
Wilkes,40,31,71,0.563380282,32,14,46,0.695652174,10,10,20,0.5,11,13,24,0.458333333,1,0,1,1,1,2,3,0.333333333,11,6,11,1,7,4,235,8,12,0,2,0
Lycoming,43,37,80,0.5375,37,20,57,0.649122807,6,9,15,0.4,14,19,33,0.424242424,2,2,4,0.5,3,1,4,0.75,4,0,6,7,6,6,62,14,7,3,0,0
Scranton,40,24,64,0.625,25,21,46,0.543478261,3,7,10,0.3,9,13,22,0.409090909,0,1,1,0,0,2,2,0,1,3,5,5,11,1,137,14,6,2,1,0
Susquehanna,66,28,94,0.70212766,42,18,60,0.7,14,14,28,0.5,10,9,19,0.526315789,0,1,1,0,1,1,2,0.5,12,7,15,3,6,4,236,14,13,1,2,0
Moravian,54,29,83,0.65060241,32,25,57,0.561403509,7,14,21,0.333333333,7,2,9,0.777777778,2,1,3,0.666666667,1,4,5,0.2,1,3,7,4,6,2,117,10,8,2,0,0
Catholic,34,22,56,0.607142857,20,15,35,0.571428571,2,5,7,0.285714286,11,8,19,0.578947368,1,3,4,0.25,2,5,7,0.285714286,2,1,3,7,11,2,57,32,3,4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,